"CoreID","treatment","sat_level","Mass","formula","presence","n"
"FT001","Wetting",100,333.0252381,"C15H10O9",1,5
"FT001","Wetting",100,333.0615724,"C16H14O8",1,5
"FT001","Wetting",100,333.0827515,"C13H18O10",1,5
"FT001","Wetting",100,333.0980036,"C17H18O7",1,5
"FT001","Wetting",100,333.1110261,"C14H23O7P1",1,5
"FT001","Wetting",100,333.1191107,"C14H22O9",1,4
"FT001","Wetting",100,333.1343296,"C18H22O6",1,5
"FT001","Wetting",100,333.1555179,"C15H26O8",1,4
"FT001","Wetting",100,333.1707718,"C19H26O5",1,5
"FT001","Wetting",100,335.0044884,"C14H8O10",1,5
"FT001","Wetting",100,335.0408362,"C15H12O9",1,5
"FT001","Wetting",100,335.0772665,"C16H16O8",1,5
"FT001","Wetting",100,335.0902948,"C13H21O8P1",1,3
"FT001","Wetting",100,335.1135924,"C17H20O7",1,5
"FT001","Wetting",100,335.1500423,"C18H24O6",1,5
"FT001","Wetting",100,335.1863595,"C19H28O5",1,5
"FT001","Wetting",100,336.0724833,"C15H15O8N1",1,5
"FT001","Wetting",100,337.0201293,"C14H10O10",1,5
"FT001","Wetting",100,337.0564946,"C15H14O9",1,5
"FT001","Wetting",100,337.0718188,"C19H14O6",1,5
"FT001","Wetting",100,337.0929259,"C16H18O8",1,5
"FT001","Wetting",100,337.1292578,"C17H22O7",1,5
"FT001","Wetting",100,337.1657184,"C18H26O6",1,5
"FT001","Wetting",100,337.2020297,"C19H30O5",1,5
"FT001","Wetting",100,337.2054036,"C16H34O5S1",1,5
"FT001","Wetting",100,338.0881099,"C15H17O8N1",1,5
"FT001","Wetting",100,339.0146829,"C17H8O8",1,5
"FT001","Wetting",100,339.0357977,"C14H12O10",1,5
"FT001","Wetting",100,339.0510966,"C18H12O7",1,5
"FT001","Wetting",100,339.0721947,"C15H16O9",1,5
"FT001","Wetting",100,339.0874135,"C19H16O6",1,5
"FT001","Wetting",100,339.1085539,"C16H20O8",1,5
"FT001","Wetting",100,339.1449818,"C17H24O7",1,5
"FT001","Wetting",100,339.1813046,"C18H28O6",1,5
"FT001","Wetting",100,339.1999594,"C19H32O3S1",1,5
"FT001","Wetting",100,340.067418,"C14H15O9N1",1,5
"FT001","Wetting",100,341.0150359,"C13H10O11",1,5
"FT001","Wetting",100,341.0303126,"C17H10O8",1,5
"FT001","Wetting",100,341.040932,"C8H14O9N4S1",1,3
"FT001","Wetting",100,341.0514582,"C14H14O10",1,5
"FT001","Wetting",100,341.0667166,"C18H14O7",1,5
"FT001","Wetting",100,341.0878165,"C15H18O9",1,5
"FT001","Wetting",100,341.1030571,"C19H18O6",1,5
"FT001","Wetting",100,341.1242059,"C16H22O8",1,5
"FT001","Wetting",100,341.1394831,"C20H22O5",1,5
"FT001","Wetting",100,341.1606051,"C17H26O7",1,5
"FT001","Wetting",100,341.1969683,"C18H30O6",1,5
"FT001","Wetting",100,342.0830445,"C14H17O9N1",1,4
"FT001","Wetting",100,343.0095833,"C16H8O9",1,5
"FT001","Wetting",100,343.0306936,"C13H12O11",1,5
"FT001","Wetting",100,343.0459432,"C17H12O8",1,5
"FT001","Wetting",100,343.0670912,"C14H16O10",1,5
"FT001","Wetting",100,343.082354,"C18H16O7",1,5
"FT001","Wetting",100,343.1034795,"C15H20O9",1,5
"FT001","Wetting",100,343.1187262,"C19H20O6",1,5
"FT001","Wetting",100,343.1398456,"C16H24O8",1,5
"FT001","Wetting",100,343.1551131,"C20H24O5",1,5
"FT001","Wetting",100,343.1762587,"C17H28O7",1,5
"FT001","Wetting",100,343.2126249,"C18H32O6",1,5
"FT001","Wetting",100,344.0775587,"C17H15O7N1",1,3
"FT001","Wetting",100,345.025213,"C16H10O9",1,5
"FT001","Wetting",100,345.0463204,"C13H14O11",1,5
"FT001","Wetting",100,345.0616192,"C17H14O8",1,5
"FT001","Wetting",100,345.0814204,"C19H14O1N4S1",1,3
"FT001","Wetting",100,345.0827774,"C14H18O10",1,5
"FT001","Wetting",100,345.0980081,"C18H18O7",1,5
"FT001","Wetting",100,345.1190963,"C15H22O9",1,5
"FT001","Wetting",100,345.1343526,"C19H22O6",1,5
"FT001","Wetting",100,345.1555362,"C16H26O8",1,5
"FT001","Wetting",100,345.170792,"C20H26O5",1,5
"FT001","Wetting",100,345.1918913,"C17H30O7",1,5
"FT001","Wetting",100,346.0569261,"C16H13O8N1",1,3
"FT001","Wetting",100,347.0044972,"C15H8O10",1,5
"FT001","Wetting",100,347.0408833,"C16H12O9",1,5
"FT001","Wetting",100,347.0619835,"C13H16O11",1,5
"FT001","Wetting",100,347.0772445,"C17H16O8",1,5
"FT001","Wetting",100,347.098401,"C14H20O10",1,5
"FT001","Wetting",100,347.1136642,"C18H20O7",1,5
"FT001","Wetting",100,347.1347725,"C15H24O9",1,5
"FT001","Wetting",100,347.1500071,"C19H24O6",1,5
"FT001","Wetting",100,347.1711434,"C16H28O8",1,5
"FT001","Wetting",100,347.1864251,"C20H28O5",1,5
"FT001","Wetting",100,348.0725696,"C16H15O8N1",1,5
"FT001","Wetting",100,349.0201154,"C15H10O10",1,5
"FT001","Wetting",100,349.0565355,"C16H14O9",1,5
"FT001","Wetting",100,349.0929186,"C17H18O8",1,5
"FT001","Wetting",100,349.1059524,"C14H23O8P1",1,5
"FT001","Wetting",100,349.1292651,"C18H22O7",1,5
"FT001","Wetting",100,349.16571,"C19H26O6",1,5
"FT001","Wetting",100,349.2020329,"C20H30O5",1,5
"FT001","Wetting",100,350.051816,"C15H13O9N1",1,4
"FT001","Wetting",100,350.088198,"C16H17O8N1",1,4
"FT001","Wetting",100,350.9994009,"C14H8O11",1,5
"FT001","Wetting",100,351.0357791,"C15H12O10",1,5
"FT001","Wetting",100,351.0510202,"C19H12O7",1,5
"FT001","Wetting",100,351.0721777,"C16H16O9",1,5
"FT001","Wetting",100,351.0834265,"C15H16O8N2",1,4
"FT001","Wetting",100,351.1085583,"C17H20O8",1,5
"FT001","Wetting",100,351.1449316,"C18H24O7",1,5
"FT001","Wetting",100,351.1813465,"C19H28O6",1,5
"FT001","Wetting",100,351.2177198,"C20H32O5",1,5
"FT001","Wetting",100,351.2210675,"C17H36O5S1",1,5
"FT001","Wetting",100,352.0674554,"C15H15O9N1",1,5
"FT001","Wetting",100,352.1038426,"C16H19O8N1",1,4
"FT001","Wetting",100,353.0150634,"C14H10O11",1,5
"FT001","Wetting",100,353.0303143,"C18H10O8",1,5
