"Mass","formula","HC","OC"
315.0136546,"C9H9O7N4P1",1,0.78
315.0145996,"C15H8O8",0.53,0.53
315.0357776,"C12H12O10",1,0.83
315.0496516,"C10H21O5S2P1",2.1,0.5
315.0499038,"C10H13O6N4P1",1.3,0.6
315.0500907,"C10H13O6N4P1",1.3,0.6
315.0510488,"C16H12O7",0.75,0.44
315.0712298,"C7H17O8N4P1",2.43,1.14
315.0721476,"C13H16O9",1.23,0.69
315.0863391,"C11H17O5N4P1",1.55,0.45
315.0864981,"C11H17O5N4P1",1.55,0.45
315.0866784,"C9H20O8N2S1",2.22,0.89
315.0873824,"C17H16O6",0.94,0.35
315.098679,"C16H16O5N2",1,0.31
315.1085564,"C14H20O8",1.43,0.57
315.1227756,"C12H21O4N4P1",1.75,0.33
315.1238163,"C18H20O5",1.11,0.28
315.1437565,"C9H25O6N4P1",2.78,0.67
315.1449051,"C15H24O7",1.6,0.47
315.1601603,"C19H24O4",1.26,0.21
315.1674662,"C13H24O5N4",1.85,0.38
315.1813573,"C16H28O6",1.75,0.38
315.2076726,"C19H28O2N2",1.47,0.11
315.2176771,"C17H32O5",1.88,0.29
315.254209,"C18H36O4",2,0.22
316.0461851,"C15H11O7N1",0.73,0.47
316.1584978,"C17H24O1N3P1",1.41,0.06
316.1877846,"C14H27O5N3",1.93,0.36
316.942864,"C12H3O5N2S1P1",0.25,0.42
316.9526943,"C10H7O8S1P1",0.7,0.8
316.9928016,"C8H7O8N4P1",0.88,1
316.9938607,"C14H6O9",0.43,0.64
316.9940596,"C14H6O9",0.43,0.64
317.0292658,"C9H11O7N4P1",1.22,0.78
317.0302756,"C15H10O8",0.67,0.53
317.0406568,"C16H15O3S1P1",0.94,0.19
317.0514525,"C12H14O10",1.17,0.83
317.0651904,"C10H23O5S2P1",2.3,0.5
317.0655234,"C10H15O6N4P1",1.5,0.6
317.06603,"C8H18O9N2S1",2.25,1.12
317.0667047,"C16H14O7",0.88,0.44
317.077942,"C15H14O6N2",0.93,0.4
317.0797117,"C13H19O7P1",1.46,0.54
317.0866727,"C7H19O8N4P1",2.71,1.14
317.0877864,"C13H18O9",1.38,0.69
317.1030491,"C17H18O6",1.06,0.35
317.124229,"C14H22O8",1.57,0.57
317.138283,"C12H23O4N4P1",1.92,0.33
317.1394546,"C18H22O5",1.22,0.28
317.16055,"C15H26O7",1.73,0.47
317.1748356,"C13H27O3N4P1",2.08,0.23
317.1758334,"C19H26O4",1.37,0.21
317.1969994,"C16H30O6",1.88,0.38
318.0619235,"C15H13O7N1",0.87,0.47
318.0983369,"C16H17O6N1",1.06,0.38
318.119337,"C13H21O8N1",1.62,0.62
318.1670694,"C13H25O6N3",1.92,0.46
319.0095398,"C14H8O9",0.57,0.64
319.0277354,"C17H9O3N2P1",0.53,0.18
319.0444874,"C9H21O6S2P1",2.33,0.67
319.0447774,"C9H13O7N4P1",1.44,0.78
319.0459919,"C15H12O8",0.8,0.53
319.0611522,"C19H12O5",0.63,0.26
319.0671289,"C12H16O10",1.33,0.83
319.0812311,"C8H20O9N2S1",2.5,1.12
319.0823207,"C16H16O7",1,0.44
319.0937069,"C15H16O6N2",1.07,0.4
319.1177333,"C11H21O5N4P1",1.91,0.45
319.118758,"C17H20O6",1.18,0.35
319.1399025,"C14H24O8",1.71,0.57
319.1540193,"C12H25O4N4P1",2.08,0.33
319.155101,"C18H24O5",1.33,0.28
319.1763171,"C15H28O7",1.87,0.47
319.1905517,"C13H29O3N4P1",2.23,0.23
319.1915275,"C19H28O4",1.47,0.21
319.9831806,"C8H7O9N3S1",0.88,1.12
320.0411676,"C14H11O8N1",0.79,0.57
320.0775377,"C15H15O7N1",1,0.47
320.1350786,"C13H23O8N1",1.77,0.62
320.9887942,"C13H6O10",0.46,0.77
321.0237933,"C8H19O7S2P1",2.38,0.88
321.0242215,"C8H11O8N4P1",1.38,1
321.0251845,"C14H10O9",0.71,0.64
321.0404073,"C18H10O6",0.56,0.33
321.0605095,"C9H15O7N4P1",1.67,0.78
321.0616174,"C15H14O8",0.93,0.53
321.0769481,"C19H14O5",0.74,0.26
321.0827018,"C12H18O10",1.5,0.83
321.0969129,"C10H19O6N4P1",1.9,0.6
321.097942,"C16H18O7",1.12,0.44
321.1091008,"C15H18O6N2",1.2,0.4
321.1332835,"C11H23O5N4P1",2.09,0.45
321.1334664,"C11H23O5N4P1",2.09,0.45
321.1343833,"C17H22O6",1.29,0.35
321.1584281,"C13H27O5N2P1",2.08,0.38
321.1695947,"C12H27O4N4P1",2.25,0.33
321.1707131,"C18H26O5",1.44,0.28
321.1771858,"C14H31O2N2S1P1",2.21,0.14
321.191892,"C15H30O7",2,0.47
321.2071908,"C19H30O4",1.58,0.21
321.2104845,"C16H34O4S1",2.12,0.25
321.2200053,"C16H35O4P1",2.19,0.25
322.0568739,"C14H13O8N1",0.93,0.57
322.093223,"C15H17O7N1",1.13,0.47
322.9963624,"C13H9O8P1",0.69,0.62
323.0044636,"C13H8O10",0.62,0.77
323.0198466,"C17H8O7",0.47,0.41
323.039664,"C8H13O8N4P1",1.62,1
323.0399406,"C8H13O8N4P1",1.62,1
323.0408814,"C14H12O9",0.86,0.64
323.0422684,"C15H8O5N4",0.53,0.33
323.0561416,"C18H12O6",0.67,0.33
323.076116,"C9H17O7N4P1",1.89,0.78
323.077242,"C15H16O8",1.07,0.53
323.0886021,"C14H16O7N2",1.14,0.5
323.0925044,"C19H16O5",0.84,0.26
323.0984214,"C12H20O10",1.67,0.83
323.1065883,"C17H17O1N4P1",1,0.06
323.1124609,"C10H21O6N4P1",2.1,0.6
323.1126956,"C10H21O6N4P1",2.1,0.6
323.1136448,"C16H20O7",1.25,0.44
323.1290247,"C20H20O4",1,0.2
323.1488582,"C11H25O5N4P1",2.27,0.45
323.1490333,"C11H25O5N4P1",2.27,0.45
323.1499961,"C17H24O6",1.41,0.35
323.1686074,"C18H28O3S1",1.56,0.17
323.1864253,"C18H28O5",1.56,0.28
323.1898617,"C15H32O5S1",2.13,0.33
324.0724366,"C14H15O8N1",1.07,0.57
324.0726224,"C14H15O8N1",1.07,0.57
324.0966228,"C10H20O7N3P1",2,0.7
324.1087903,"C15H19O7N1",1.27,0.47
324.9763219,"C13H11O4S2P1",0.85,0.31
324.9765088,"C13H11O4S2P1",0.85,0.31
324.976986,"C13H3O5N4P1",0.23,0.38
324.9811181,"C16H6O6S1",0.38,0.38
324.9813763,"C16H6O6S1",0.38,0.38
324.9836242,"C12H6O11",0.5,0.92
324.984243,"C15H7O3N2S1P1",0.47,0.2
324.9845472,"C13H10O6S2",0.77,0.46
324.9867358,"C11H7O8N2P1",0.64,0.73
324.9877291,"C12H11O3N2S2P1",0.92,0.25
324.9883063,"C20H7O1S1P1",0.35,0.05
324.990142,"C8H11O8N2S1P1",1.38,1
324.9906945,"C16H7O6P1",0.44,0.38
324.992519,"C15H6O5N2S1",0.4,0.33
324.9941509,"C13H11O6S1P1",0.85,0.46
324.9948739,"C11H6O10N2",0.55,0.91
324.9965566,"C20H6O3S1",0.3,0.15
324.997468,"C10H15O6S2P1",1.5,0.6
324.9978022,"C10H7O7N4P1",0.7,0.7
324.9980253,"C10H7O7N4P1",0.7,0.7
324.9989492,"C16H6O8",0.38,0.5
324.9998609,"C17H10O3S2",0.59,0.18
325.00611,"C20H7O3P1",0.35,0.15
325.0092154,"C17H11O3S1P1",0.65,0.18
325.013529,"C12H10O7N2S1",0.83,0.58
325.0200825,"C13H10O10",0.77,0.77
325.0337206,"C11H19O5S2P1",1.73,0.45
325.0353462,"C17H10O7",0.59,0.41
325.0355239,"C17H10O7",0.59,0.41
325.042516,"C21H11O2P1",0.52,0.1
325.0460427,"C8H14O8N4S1",1.75,1
325.046738,"C16H10O6N2",0.62,0.38
325.047462,"C17H14O1N2S2",0.82,0.06
325.0481708,"C14H15O7P1",1.07,0.5
325.049828,"C13H14O6N2S1",1.08,0.46
325.050034,"C13H14O6N2S1",1.08,0.46
325.0507496,"C21H10O4",0.48,0.19
325.0517034,"C11H19O7S1P1",1.73,0.64
325.0532787,"C10H18O6N2S2",1.8,0.6
325.0536006,"C20H11O1N2P1",0.55,0.05
325.0539627,"C18H14O4S1",0.78,0.22
325.0553798,"C8H15O8N4P1",1.88,1
325.0555688,"C8H15O8N4P1",1.88,1
325.0565246,"C14H14O9",1,0.64
325.0575115,"C15H18O4S2",1.2,0.27
325.057897,"C15H10O5N4",0.67,0.33
325.0595,"C13H15O6N2P1",1.15,0.46
325.0599124,"C11H18O9S1",1.64,0.82
325.0602706,"C14H19O1N2S2P1",1.36,0.07
325.0611415,"C12H14O5N4S1",1.17,0.42
325.0619081,"C20H10O3N2",0.5,0.15
325.0651092,"C17H14O3N2S1",0.82,0.18
325.0653566,"C17H14O3N2S1",0.82,0.18
325.0660242,"C25H10O1",0.4,0.04
