"Mass","formula","El_comp","Class","HC","OC","AImod","NOSC","C","H","O","N","S","P"
439.3065049,"C25H44O6","CHO","Lipid",1.76,0.24,0.0455,-1.28,25,44,6,0,0,0
439.3217496,"C29H44O3","CHO","Lipid",1.52,0.1,0.2364,-1.3103,29,44,3,0,0,0
439.3428258,"C26H48O5","CHO","Lipid",1.85,0.19,0.0213,-1.4615,26,48,5,0,0,0
439.3791398,"C27H52O4","CHO","Lipid",1.93,0.15,0,-1.6296,27,52,4,0,0,0
440.0257191,"C20H11O11N1","CHON","ConHC",0.55,0.55,0.7037,0.7,20,11,11,1,0,0
440.0470274,"C17H15O13N1","CHON","Tannin",0.88,0.76,0.3684,0.8235,17,15,13,1,0,0
440.0473603,"C20H16O5N3S1P1","CHONSP","Lignin",0.8,0.25,0.6,0.25,20,16,5,3,1,1
440.0623774,"C21H15O10N1","CHON","ConHC",0.71,0.48,0.6,0.381,21,15,10,1,0,0
440.0834508,"C18H19O12N1","CHON","Tannin",1.06,0.67,0.2727,0.4444,18,19,12,1,0,0
440.0987077,"C22H19O9N1","CHON","Lignin",0.86,0.41,0.5152,0.0909,22,19,9,1,0,0
440.1198129,"C19H23O11N1","CHON","Lignin",1.21,0.58,0.2,0.1053,19,23,11,1,0,0
440.1562166,"C20H27O10N1","CHON","Lignin",1.35,0.5,0.1429,-0.2,20,27,10,1,0,0
440.1565295,"C20H27O10N1","CHON","Lignin",1.35,0.5,0.1429,-0.2,20,27,10,1,0,0
440.1926645,"C21H31O9N1","CHON","Lignin",1.48,0.43,0.0968,-0.4762,21,31,9,1,0,0
440.1929171,"C21H31O9N1","CHON","Lignin",1.48,0.43,0.0968,-0.4762,21,31,9,1,0,0
440.2289672,"C22H35O8N1","CHON","Protein",1.59,0.36,0.0588,-0.7273,22,35,8,1,0,0
440.2555139,"C25H35O4N3","CHON","Lignin",1.4,0.16,0.25,-0.72,25,35,4,3,0,0
440.2660728,"C24H43O2N1S2","CHONS","Lipid",1.79,0.08,0,-1.3333,24,43,2,1,2,0
440.9408964,"C18H7O6N2S2P1","CHONSP","ConHC",0.39,0.33,0.9,0.8333,18,7,6,2,2,1
440.9470209,"C11H11O11N2S2P1","CHONSP","Tannin",1,1,-5,1.9091,11,11,11,2,2,1
440.963224,"C13H6O12N4S1","CHONS","ConHC",0.46,0.92,1,2.4615,13,6,12,4,1,0
440.9865248,"C16H11O13P1","CHOP","ConHC",0.69,0.81,0.5294,0.9375,16,11,13,0,0,1
440.9947289,"C16H10O15","CHO","ConHC",0.62,0.94,0.5294,1.25,16,10,15,0,0,0
441.00017,"C22H6O9N2","CHON","ConHC",0.27,0.41,0.9355,0.8182,22,6,9,2,0,0
441.0074156,"C24H10O7S1","CHOS","ConHC",0.42,0.29,0.7949,0.25,24,10,7,0,1,0
441.0099779,"C20H10O12","CHO","ConHC",0.5,0.6,0.7143,0.7,20,10,12,0,0,0
441.0205724,"C11H14O13N4S1","CHONS","Other",1.27,1.18,9,2.3636,11,14,13,4,1,0
441.0230511,"C17H15O12P1","CHOP","Tannin",0.88,0.71,0.4,0.5294,17,15,12,0,0,1
441.0259874,"C25H14O4S2","CHOS","ConHC",0.56,0.16,0.7143,-0.08,25,14,4,0,2,0
441.0310522,"C17H14O14","CHO","Tannin",0.82,0.82,0.4,0.8235,17,14,14,0,0,0
441.0388551,"C22H19O4S2P1","CHOSP","Lignin",0.86,0.18,0.5294,-0.3182,22,19,4,0,2,1
441.0392507,"C22H11O5N4P1","CHONP","ConHC",0.5,0.23,0.8621,0.5,22,11,5,4,0,1
441.0433399,"C27H11O3N2P1","CHONP","ConHC",0.41,0.11,0.8667,0.037,27,11,3,2,0,1
441.0463096,"C21H14O11","CHO","ConHC",0.67,0.52,0.6129,0.381,21,14,11,0,0,0
441.0556378,"C32H10O3","CHO","ConHC",0.31,0.09,0.8689,-0.125,32,10,3,0,0,0
441.056973,"C12H18O12N4S1","CHONS","Carb",1.5,1,-5,1.6667,12,18,12,4,1,0
441.0573551,"C20H14O10N2","CHON","ConHC",0.7,0.5,0.6154,0.6,20,14,10,2,0,0
441.0599983,"C19H23O6S2P1","CHOSP","Lignin",1.21,0.32,0.2308,-0.3684,19,23,6,0,2,1
441.0641834,"C24H15O5N2P1","CHONP","ConHC",0.62,0.21,0.7297,0.0417,24,15,5,2,0,1
441.0674186,"C18H18O13","CHO","Tannin",1,0.72,0.3043,0.4444,18,18,13,0,0,0
441.0753136,"C23H23O3S2P1","CHOSP","Lignin",1,0.13,0.4595,-0.5652,23,23,3,0,2,1
441.0796467,"C28H15O2N2P1","CHONP","ConHC",0.54,0.07,0.7917,-0.1786,28,15,2,2,0,1
441.0826842,"C22H18O10","CHO","Lignin",0.82,0.45,0.5294,0.0909,22,18,10,0,0,0
441.0861734,"C19H22O10S1","CHOS","Lignin",1.16,0.53,0.2308,0,19,22,10,0,1,0
441.0920451,"C33H14O2","CHO","ConHC",0.42,0.06,0.8125,-0.303,33,14,2,0,0,0
441.0933468,"C13H22O11N4S1","CHONS","Carb",1.69,0.85,-2.2,1.0769,13,22,11,4,1,0
441.0962748,"C20H27O5S2P1","CHOSP","Lignin",1.35,0.25,0.1724,-0.65,20,27,5,0,2,1
441.1009996,"C23H22O7S1","CHOS","Lignin",0.96,0.3,0.4595,-0.2609,23,22,7,0,1,0
441.1015306,"C23H22O7S1","CHOS","Lignin",0.96,0.3,0.4595,-0.2609,23,22,7,0,1,0
441.103815,"C19H22O12","CHO","Lignin",1.16,0.63,0.2308,0.1053,19,22,12,0,0,0
441.1125313,"C22H22O6N2S1","CHONS","Lignin",1,0.27,0.4375,-0.0909,22,22,6,2,1,0
441.1130274,"C30H18O4","CHO","ConHC",0.6,0.13,0.7143,-0.3333,30,18,4,0,0,0
441.116175,"C29H19O1N2P1","CHONP","ConHC",0.66,0.03,0.7255,-0.3793,29,19,1,2,0,1
441.119095,"C23H22O9","CHO","Lignin",0.96,0.39,0.4595,-0.1739,23,22,9,0,0,0
441.1218883,"C22H23O6N2P1","CHONP","Lignin",1.05,0.27,0.4375,-0.2273,22,23,6,2,0,1
441.1224234,"C20H26O9S1","CHOS","Lignin",1.3,0.45,0.1724,-0.3,20,26,9,0,1,0
441.1226835,"C20H26O9S1","CHOS","Lignin",1.3,0.45,0.1724,-0.3,20,26,9,0,1,0
441.1250106,"C16H26O14","CHO","Carb",1.62,0.88,-0.3333,0.125,16,26,14,0,0,0
441.1276505,"C26H22O3N2S1","CHONS","UnsatHC",0.85,0.12,0.5814,-0.3077,26,22,3,2,1,0
441.128283,"C34H18O1","CHO","ConHC",0.53,0.03,0.7612,-0.4706,34,18,1,0,0,0
441.1298703,"C24H27O4S1P1","CHOSP","Lignin",1.12,0.17,0.4,-0.7083,24,27,4,0,1,1
441.1318065,"C31H22O1S1","CHOS","ConHC",0.71,0.03,0.661,-0.5806,31,22,1,0,1,0
441.1327559,"C21H31O4S2P1","CHOSP","Lignin",1.48,0.19,0.125,-0.9048,21,31,4,0,2,1
441.1402259,"C20H26O11","CHO","Lignin",1.3,0.55,0.1724,-0.2,20,26,11,0,0,0
441.1405581,"C23H27O3N2S1P1","CHONSP","Lignin",1.17,0.13,0.3714,-0.5652,23,27,3,2,1,1
441.1491614,"C23H26O5N2S1","CHONS","Lignin",1.13,0.22,0.3714,-0.3478,23,26,5,2,1,0
441.1495359,"C31H22O3","CHO","ConHC",0.71,0.1,0.661,-0.5161,31,22,3,0,0,0
441.1504666,"C21H31O6S1P1","CHOSP","Lignin",1.48,0.29,0.125,-0.8095,21,31,6,0,1,1
441.1525061,"C20H30O5N2S2","CHONS","Lipid",1.5,0.25,0.037,-0.5,20,30,5,2,2,0
441.1555006,"C24H26O8","CHO","Lignin",1.08,0.33,0.4,-0.4167,24,26,8,0,0,0
441.1613749,"C17H30O13","CHO","Carb",1.76,0.76,-0.3333,-0.2353,17,30,13,0,0,0
441.1716652,"C18H35O8S1P1","CHOSP","Protein",1.94,0.44,-0.3333,-0.9444,18,35,8,0,1,1
441.1766296,"C21H30O10","CHO","Lignin",1.43,0.48,0.125,-0.4762,21,30,10,0,0,0
441.1769692,"C24H31O2N2S1P1","CHONSP","UnsatHC",1.29,0.08,0.3158,-0.7917,24,31,2,2,1,1
441.1918813,"C25H30O7","CHO","Lignin",1.2,0.28,0.3488,-0.64,25,30,7,0,0,0
441.1981854,"C21H35O4N2S1P1","CHONSP","Lipid",1.67,0.19,0,-0.9048,21,35,4,2,1,1
441.1990761,"C29H31O2P1","CHOP","UnsatHC",1.07,0.07,0.4815,-0.931,29,31,2,0,0,1
441.2030675,"C24H30O6N2","CHON","Lignin",1.25,0.25,0.3158,-0.5,24,30,6,2,0,0
441.2089784,"C17H34O11N2","CHON","AminoSugar",2,0.65,-0.5789,-0.3529,17,34,11,2,0,0
441.2129904,"C22H34O9","CHO","Protein",1.55,0.41,0.0857,-0.7273,22,34,9,0,0,0
441.2133153,"C22H34O9","CHO","Protein",1.55,0.41,0.0857,-0.7273,22,34,9,0,0,0
441.2282497,"C26H34O6","CHO","Lignin",1.31,0.23,0.3043,-0.8462,26,34,6,0,0,0
441.2354874,"C30H35O1P1","CHOP","UnsatHC",1.17,0.03,0.4386,-1.1,30,35,1,0,0,1
441.2484524,"C17H39O7N4P1","CHONP","Protein",2.29,0.41,-0.8824,-0.7647,17,39,7,4,0,1
441.2493721,"C23H38O8","CHO","Protein",1.65,0.35,0.0526,-0.9565,23,38,8,0,0,0
441.2501743,"C24H42O3S2","CHOS","Lipid",1.75,0.12,0.0244,-1.3333,24,42,3,0,2,0
441.2508723,"C24H34O4N4","CHON","Lignin",1.42,0.17,0.2222,-0.5833,24,34,4,4,0,0
441.2525966,"C20H42O8S1","CHOS","Protein",2.1,0.4,-0.3333,-1.2,20,42,8,0,1,0
441.2622112,"C20H43O8P1","CHOP","Protein",2.15,0.4,-0.3333,-1.35,20,43,8,0,0,1
441.2646737,"C27H38O5","CHO","Lignin",1.41,0.19,0.2653,-1.037,27,38,5,0,0,0
441.2681538,"C24H42O5S1","CHOS","Lipid",1.75,0.21,0.0244,-1.25,24,42,5,0,1,0
441.2718892,"C21H38O6N4","CHON","Lipid",1.81,0.29,-0.1429,-0.6667,21,38,6,4,0,0
441.2857263,"C24H42O7","CHO","Lipid",1.75,0.29,0.0244,-1.1667,24,42,7,0,0,0
441.3008182,"C28H42O4","CHO","Lipid",1.5,0.14,0.2308,-1.2143,28,42,4,0,0,0
441.3082134,"C22H42O5N4","CHON","Lipid",1.91,0.23,-0.1613,-0.9091,22,42,5,4,0,0
441.3221292,"C25H46O6","CHO","Lipid",1.84,0.24,0,-1.36,25,46,6,0,0,0
441.3585649,"C26H50O5","CHO","Lipid",1.92,0.19,-0.0213,-1.5385,26,50,5,0,0,0
442.0166487,"C18H9O11N3","CHON","ConHC",0.5,0.61,0.7895,1.2222,18,9,11,3,0,0
442.041555,"C20H13O11N1","CHON","ConHC",0.65,0.55,0.6296,0.6,20,13,11,1,0,0
442.0470212,"C26H9O5N3","CHON","ConHC",0.35,0.19,0.9024,0.3846,26,9,5,3,0,0
442.0543034,"C28H13O3N1S1","CHONS","ConHC",0.46,0.11,0.7959,-0.0714,28,13,3,1,1,0
442.0626962,"C17H17O13N1","CHON","Tannin",1,0.76,0.2632,0.7059,17,17,13,1,0,0
442.0629199,"C17H17O13N1","CHON","Tannin",1,0.76,0.2632,0.7059,17,17,13,1,0,0
442.0659076,"C14H21O13N1S1","CHONS","Carb",1.5,0.93,-0.6364,0.7143,14,21,13,1,1,0
442.0779444,"C21H17O10N1","CHON","Lignin",0.81,0.48,0.5333,0.2857,21,17,10,1,0,0
442.0783736,"C24H18O2N3S1P1","CHONSP","ConHC",0.75,0.08,0.6667,-0.125,24,18,2,3,1,1
442.0991091,"C18H21O12N1","CHON","Tannin",1.17,0.67,0.1818,0.3333,18,21,12,1,0,0
442.1144137,"C22H21O9N1","CHON","Lignin",0.95,0.41,0.4545,0,22,21,9,1,0,0
442.1146891,"C22H21O9N1","CHON","Lignin",0.95,0.41,0.4545,0,22,21,9,1,0,0
442.1355252,"C19H25O11N1","CHON","Lignin",1.32,0.58,0.12,0,19,25,11,1,0,0
442.1358204,"C19H25O11N1","CHON","Lignin",1.32,0.58,0.12,0,19,25,11,1,0,0
442.1509273,"C23H25O8N1","CHON","Lignin",1.09,0.35,0.3889,-0.2609,23,25,8,1,0,0
442.1593201,"C26H25O2N3S1","CHONS","UnsatHC",0.96,0.08,0.5238,-0.3846,26,25,2,3,1,0
442.171897,"C20H29O10N1","CHON","Lignin",1.45,0.5,0.0714,-0.3,20,29,10,1,0,0
442.1722728,"C23H30O2N3S1P1","CHONSP","UnsatHC",1.3,0.09,0.2941,-0.6522,23,30,2,3,1,1
442.1938306,"C18H37O7N1S2","CHONS","Protein",2.06,0.39,-0.4783,-0.8889,18,37,7,1,2,0
442.1942173,"C28H30O2N1P1","CHONP","UnsatHC",1.07,0.07,0.48,-0.8214,28,30,2,1,0,1
442.2083105,"C21H33O9N1","CHON","Protein",1.57,0.43,0.0323,-0.5714,21,33,9,1,0,0
442.2085529,"C21H33O9N1","CHON","Protein",1.57,0.43,0.0323,-0.5714,21,33,9,1,0,0
442.2306509,"C29H34O1N1P1","CHONP","UnsatHC",1.17,0.03,0.434,-1,29,34,1,1,0,1
442.2447758,"C22H37O8N1","CHON","Protein",1.68,0.36,0,-0.8182,22,37,8,1,0,0
442.2670771,"C20H37O6N5","CHON","Protein",1.85,0.3,-0.25,-0.5,20,37,6,5,0,0
442.2895551,"C26H41O1N3S1","CHONS","Lipid",1.58,0.04,0.1628,-1.0769,26,41,1,3,1,0
442.9606415,"C23H9O4S2P1","CHOSP","ConHC",0.39,0.17,0.8333,0.1304,23,9,4,0,2,1
442.9726089,"C20H4O7N4S1","CHONS","ConHC",0.2,0.35,1.087,1.2,20,4,7,4,1,0
442.9892463,"C19H8O13","CHO","ConHC",0.42,0.68,0.76,0.9474,19,8,13,0,0,0
442.989698,"C19H8O13","CHO","ConHC",0.42,0.68,0.76,0.9474,19,8,13,0,0,0
443.002225,"C16H13O13P1","CHOP","Tannin",0.81,0.81,0.4118,0.8125,16,13,13,0,0,1
443.0102818,"C16H12O15","CHO","ConHC",0.75,0.94,0.4118,1.125,16,12,15,0,0,0
443.0182337,"C21H17O5S2P1","CHOSP","Lignin",0.81,0.24,0.5484,-0.1429,21,17,5,0,2,1
443.0222767,"C16H16O9N2S2","CHONS","Lignin",1,0.56,0.2,0.75,16,16,9,2,2,0
443.0228632,"C24H12O7S1","CHOS","ConHC",0.5,0.29,0.7436,0.1667,24,12,7,0,1,0
443.0231536,"C24H12O7S1","CHOS","ConHC",0.5,0.29,0.7436,0.1667,24,12,7,0,1,0
443.025579,"C20H12O12","CHO","ConHC",0.6,0.6,0.6429,0.6,20,12,12,0,0,0
443.0362451,"C11H16O13N4S1","CHONS","Other",1.45,1.18,11,2.1818,11,16,13,4,1,0
443.0366166,"C19H12O11N2","CHON","ConHC",0.63,0.58,0.6522,0.8421,19,12,11,2,0,0
443.0416314,"C25H16O4S2","CHOS","ConHC",0.64,0.16,0.6667,-0.16,25,16,4,0,2,0
443.0418888,"C14H21O12S1P1","CHOSP","Carb",1.5,0.86,-0.5,0.3571,14,21,12,0,1,1
443.0467098,"C17H16O14","CHO","Tannin",0.94,0.82,0.3,0.7059,17,16,14,0,0,0
443.0522338,"C23H12O8N2","CHON","ConHC",0.52,0.35,0.7647,0.4348,23,12,8,2,0,0
443.0547056,"C22H21O4S2P1","CHOSP","Lignin",0.95,0.18,0.4706,-0.4091,22,21,4,0,2,1
443.0555068,"C20H16O8N2S1","CHONS","Lignin",0.8,0.4,0.5385,0.4,20,16,8,2,1,0
443.0590588,"C27H13O3N2P1","CHONP","ConHC",0.48,0.11,0.8222,-0.037,27,13,3,2,0,1
443.0619856,"C21H16O11","CHO","ConHC",0.76,0.52,0.5484,0.2857,21,16,11,0,0,0
443.0623481,"C24H17O3N2S1P1","CHONSP","ConHC",0.71,0.12,0.6757,-0.125,24,17,3,2,1,1
443.0704774,"C26H13O2N4P1","CHONP","ConHC",0.5,0.08,0.85,0.1154,26,13,2,4,0,1
443.0726025,"C22H21O6S1P1","CHOSP","Lignin",0.95,0.27,0.4706,-0.3182,22,21,6,0,1,1
443.0731158,"C20H16O10N2","CHON","Lignin",0.8,0.5,0.5385,0.5,20,16,10,2,0,0
443.0755896,"C19H25O6S2P1","CHOSP","Lignin",1.32,0.32,0.1538,-0.4737,19,25,6,0,2,1
443.0779638,"C26H20O3S2","CHOS","ConHC",0.77,0.12,0.6,-0.3846,26,20,3,0,2,0
443.0783737,"C15H25O11S1P1","CHOSP","Carb",1.67,0.73,-0.4667,-0.0667,15,25,11,0,1,1
443.0792672,"C13H20O15N2","CHON","Other",1.54,1.15,-1.2857,1.2308,13,20,15,2,0,0
443.0799819,"C14H24O10N2S2","CHONS","Carb",1.71,0.71,-1,0.4286,14,24,10,2,2,0
443.083118,"C18H20O13","CHO","Tannin",1.11,0.72,0.2174,0.3333,18,20,13,0,0,0
443.0913371,"C23H17O4N4P1","CHONP","ConHC",0.74,0.17,0.6875,0.1304,23,17,4,4,0,1
443.0919462,"C21H20O7N2S1","CHONS","Lignin",0.95,0.33,0.4483,0.0952,21,20,7,2,1,0
443.0937767,"C30H12O1N4","CHON","ConHC",0.4,0.03,0.8824,0.0667,30,12,1,4,0,0
443.0953704,"C28H17O2N2P1","CHONP","ConHC",0.61,0.07,0.75,-0.25,28,17,2,2,0,1
443.0983889,"C22H20O10","CHO","Lignin",0.91,0.45,0.4706,0,22,20,10,0,0,0
443.0989052,"C25H21O2N2S1P1","CHONSP","UnsatHC",0.84,0.08,0.6,-0.36,25,21,2,2,1,1
443.107721,"C33H16O2","CHO","ConHC",0.48,0.06,0.7812,-0.3636,33,16,2,0,0,0
443.1089887,"C23H25O5S1P1","CHOSP","Lignin",1.09,0.22,0.4054,-0.5652,23,25,5,0,1,1
443.1094925,"C21H20O9N2","CHON","Lignin",0.95,0.43,0.4483,0.1905,21,20,9,2,0,0
443.109717,"C21H20O9N2","CHON","Lignin",0.95,0.43,0.4483,0.1905,21,20,9,2,0,0
443.119499,"C19H24O12","CHO","Lignin",1.26,0.63,0.1538,0,19,24,12,0,0,0
443.1290731,"C30H20O4","CHO","ConHC",0.67,0.13,0.6786,-0.4,30,20,4,0,0,0
443.1299233,"C20H29O7S1P1","CHOSP","Lignin",1.45,0.35,0.1034,-0.65,20,29,7,0,1,1
443.1316272,"C29H21O1N2P1","CHONP","ConHC",0.72,0.03,0.6863,-0.4483,29,21,1,2,0,1
443.1319068,"C29H21O1N2P1","CHONP","ConHC",0.72,0.03,0.6863,-0.4483,29,21,1,2,0,1
443.1347491,"C23H24O9","CHO","Lignin",1.04,0.39,0.4054,-0.2609,23,24,9,0,0,0
443.1353063,"C26H25O1N2S1P1","CHONSP","UnsatHC",0.96,0.04,0.5349,-0.5769,26,25,1,2,1,1
443.1382092,"C20H28O9S1","CHOS","Lignin",1.4,0.45,0.1034,-0.4,20,28,9,0,1,0
443.1403023,"C29H20O3N2","CHON","ConHC",0.69,0.1,0.6863,-0.2759,29,20,3,2,0,0
443.1457913,"C22H24O8N2","CHON","Lignin",1.09,0.36,0.375,-0.0909,22,24,8,2,0,0
443.1558595,"C20H28O11","CHO","Lignin",1.4,0.55,0.1034,-0.3,20,28,11,0,0,0
443.1562383,"C23H29O3N2S1P1","CHONSP","Lignin",1.26,0.13,0.3143,-0.6522,23,29,3,2,1,1
443.1681056,"C20H32O5N2S2","CHONS","Lipid",1.6,0.25,-0.037,-0.6,20,32,5,2,2,0
443.1711048,"C24H28O8","CHO","Lignin",1.17,0.33,0.35,-0.5,24,28,8,0,0,0
443.1783563,"C28H29O3P1","CHOP","UnsatHC",1.04,0.11,0.4902,-0.8214,28,29,3,0,0,1
443.1821624,"C23H28O7N2","CHON","Lignin",1.22,0.3,0.3143,-0.3478,23,28,7,2,0,0
443.1842301,"C21H33O8P1","CHOP","Protein",1.57,0.38,0.0625,-0.8095,21,33,8,0,0,1
443.1922274,"C21H32O10","CHO","Protein",1.52,0.48,0.0625,-0.5714,21,32,10,0,0,0
443.1925614,"C24H33O2N2S1P1","CHONSP","UnsatHC",1.38,0.08,0.2632,-0.875,24,33,2,2,1,1
443.2074857,"C25H32O7","CHO","Lignin",1.28,0.28,0.3023,-0.72,25,32,7,0,0,0
443.2111107,"C22H36O7S1","CHOS","Protein",1.64,0.32,0.0286,-0.9091,22,36,7,0,1,0
443.2147181,"C29H33O2P1","CHOP","UnsatHC",1.14,0.07,0.4444,-1,29,33,2,0,0,1
443.2286224,"C22H36O9","CHO","Protein",1.64,0.41,0.0286,-0.8182,22,36,9,0,0,0
443.2289405,"C25H37O1N2S1P1","CHONSP","UnsatHC",1.48,0.04,0.2195,-1.08,25,37,1,2,1,1
443.2438924,"C26H36O6","CHO","Lignin",1.38,0.23,0.2609,-0.9231,26,36,6,0,0,0
443.2511112,"C30H37O1P1","CHOP","UnsatHC",1.23,0.03,0.4035,-1.1667,30,37,1,0,0,1
443.2592238,"C30H36O3","CHO","UnsatHC",1.2,0.1,0.4035,-1,30,36,3,0,0,0
443.265038,"C23H40O8","CHO","Protein",1.74,0.35,0,-1.0435,23,40,8,0,0,0
443.2802246,"C27H40O5","CHO","Lignin",1.48,0.19,0.2245,-1.1111,27,40,5,0,0,0
443.2804638,"C27H40O5","CHO","Lignin",1.48,0.19,0.2245,-1.1111,27,40,5,0,0,0
443.2875492,"C21H40O6N4","CHON","Lipid",1.9,0.29,-0.2143,-0.7619,21,40,6,4,0,0
443.3014311,"C24H44O7","CHO","Lipid",1.83,0.29,-0.0244,-1.25,24,44,7,0,0,0
443.3377333,"C25H48O6","CHO","Lipid",1.92,0.24,-0.0455,-1.44,25,48,6,0,0,0
444.0206425,"C19H11O12N1","CHON","ConHC",0.58,0.63,0.6667,0.8421,19,11,12,1,0,0
444.0572369,"C20H15O11N1","CHON","ConHC",0.75,0.55,0.5556,0.5,20,15,11,1,0,0
444.0783962,"C17H19O13N1","CHON","Tannin",1.12,0.76,0.1579,0.5882,17,19,13,1,0,0
444.0876688,"C28H15O5N1","CHON","ConHC",0.54,0.18,0.7551,-0.0714,28,15,5,1,0,0
444.0936513,"C21H19O10N1","CHON","Lignin",0.9,0.48,0.4667,0.1905,21,19,10,1,0,0
444.1058387,"C21H23O4N3S2","CHONS","Lignin",1.1,0.19,0.3571,-0.0952,21,23,4,3,2,0
444.1147526,"C18H23O12N1","CHON","Tannin",1.28,0.67,0.0909,0.2222,18,23,12,1,0,0
444.1151091,"C21H24O4N3S1P1","CHONSP","Lignin",1.14,0.19,0.3571,-0.2381,21,24,4,3,1,1
444.1300369,"C22H23O9N1","CHON","Lignin",1.05,0.41,0.3939,-0.0909,22,23,9,1,0,0
444.1303543,"C25H24O1N3S1P1","CHONSP","UnsatHC",0.96,0.04,0.5385,-0.44,25,24,1,3,1,1
444.1413211,"C21H23O8N3","CHON","Lignin",1.1,0.38,0.3571,0.0952,21,23,8,3,0,0
444.1511261,"C19H27O11N1","CHON","Lignin",1.42,0.58,0.04,-0.1053,19,27,11,1,0,0
444.1515049,"C22H28O3N3S1P1","CHONSP","Lignin",1.27,0.14,0.2903,-0.5,22,28,3,3,1,1
444.1663671,"C23H27O8N1","CHON","Lignin",1.17,0.35,0.3333,-0.3478,23,27,8,1,0,0
444.18786,"C20H31O10N1","CHON","Protein",1.55,0.5,0,-0.4,20,31,10,1,0,0
444.209794,"C28H32O2N1P1","CHONP","UnsatHC",1.14,0.07,0.44,-0.8929,28,32,2,1,0,1
444.2239132,"C21H35O9N1","CHON","Protein",1.67,0.43,-0.0323,-0.6667,21,35,9,1,0,0
444.2242241,"C21H35O9N1","CHON","Protein",1.67,0.43,-0.0323,-0.6667,21,35,9,1,0,0
444.2463473,"C29H36O1N1P1","CHONP","UnsatHC",1.24,0.03,0.3962,-1.069,29,36,1,1,0,1
444.2600767,"C22H39O8N1","CHON","Protein",1.77,0.36,-0.0588,-0.9091,22,39,8,1,0,0
444.9507993,"C18H6O12S1","CHOS","ConHC",0.33,0.67,0.8182,1.1111,18,6,12,0,1,0
444.9511531,"C21H7O4N2S2P1","CHONSP","ConHC",0.33,0.19,0.9286,0.5238,21,7,4,2,2,1
444.9813855,"C15H11O14P1","CHOP","ConHC",0.73,0.93,0.4286,1.1333,15,11,14,0,0,1
444.9972714,"C20H15O6S2P1","CHOSP","ConHC",0.75,0.3,0.5714,0.05,20,15,6,0,2,1
445.0020811,"C25H7O5N2P1","CHONP","ConHC",0.28,0.2,0.9487,0.36,25,7,5,2,0,1
445.0048773,"C19H10O13","CHO","ConHC",0.53,0.68,0.68,0.8421,19,10,13,0,0,0
445.0120021,"C23H11O8P1","CHOP","ConHC",0.48,0.35,0.7778,0.2174,23,11,8,0,0,1
445.0179314,"C16H15O13P1","CHOP","Tannin",0.94,0.81,0.2941,0.6875,16,15,13,0,0,1
445.0202387,"C23H10O10","CHO","ConHC",0.43,0.43,0.7778,0.4348,23,10,10,0,0,0
445.025944,"C16H14O15","CHO","Tannin",0.88,0.94,0.2941,1,16,14,15,0,0,0
445.0315696,"C22H10O9N2","CHON","ConHC",0.45,0.41,0.8065,0.6364,22,10,9,2,0,0
445.0337147,"C21H19O5S2P1","CHOSP","Lignin",0.9,0.24,0.4839,-0.2381,21,19,5,0,2,1
445.0341295,"C21H11O6N4P1","CHONP","ConHC",0.52,0.29,0.8462,0.619,21,11,6,4,0,1
445.0383372,"C26H11O4N2P1","CHONP","ConHC",0.42,0.15,0.8571,0.1154,26,11,4,2,0,1
445.0385931,"C24H14O7S1","CHOS","ConHC",0.58,0.29,0.6923,0.0833,24,14,7,0,1,0
445.0398033,"C14H23O10S2P1","CHOSP","Carb",1.64,0.71,-0.6667,0.0714,14,23,10,0,2,1
445.0412658,"C20H14O12","CHO","ConHC",0.7,0.6,0.5714,0.5,20,14,12,0,0,0
445.0451247,"C20H19O4N2S2P1","CHONSP","Lignin",0.95,0.2,0.4615,-0.05,20,19,4,2,2,1
445.0492302,"C25H19O2S2P1","CHOSP","ConHC",0.76,0.08,0.619,-0.44,25,19,2,0,2,1
445.0496874,"C25H11O3N4P1","CHONP","ConHC",0.44,0.12,0.8919,0.28,25,11,3,4,0,1
445.0518562,"C21H19O7S1P1","CHOSP","Lignin",0.9,0.33,0.4839,-0.1429,21,19,7,0,1,1
445.0566552,"C24H14O9","CHO","ConHC",0.58,0.38,0.6923,0.1667,24,14,9,0,0,0
445.0569487,"C27H15O1N2S1P1","CHONSP","ConHC",0.56,0.04,0.7778,-0.1852,27,15,1,2,1,1
445.0579559,"C25H10O5N4","CHON","ConHC",0.4,0.2,0.8919,0.48,25,10,5,4,0,0
445.0623994,"C17H18O14","CHO","Tannin",1.06,0.82,0.2,0.5882,17,18,14,0,0,0
445.0704441,"C22H23O4S2P1","CHOSP","Lignin",1.05,0.18,0.4118,-0.5,22,23,4,0,2,1
445.0706999,"C22H15O5N4P1","CHONP","ConHC",0.68,0.23,0.7241,0.3182,22,15,5,4,0,1
445.074698,"C27H15O3N2P1","CHONP","ConHC",0.56,0.11,0.7778,-0.1111,27,15,3,2,0,1
445.077654,"C21H18O11","CHO","Lignin",0.86,0.52,0.4839,0.1905,21,18,11,0,0,0
445.0860213,"C26H15O2N4P1","CHONP","ConHC",0.58,0.08,0.8,0.0385,26,15,2,4,0,1
445.088022,"C22H23O6S1P1","CHOSP","Lignin",1.05,0.27,0.4118,-0.4091,22,23,6,0,1,1
445.0883339,"C22H23O6S1P1","CHOSP","Lignin",1.05,0.27,0.4118,-0.4091,22,23,6,0,1,1
